Category,Country,Customer Name,Discount,Order Date,Order ID,Product Name,Profit,Quantity,Region,Returned,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Technology,United States,Michelle Arnett,0,13/10/13,CA-2011-132010,SanDisk Cruzer 16 GB USB Flash Drive,4.3624,2,South,,22.96,Home Office,15/10/13,First Class,Virginia,Accessories
Office Supplies,United States,Sibella Parks,0.2,13/10/13,CA-2011-123316,Recycled Pressboard Report Cover with Reinforced Top Hinge,2.8101,3,East,,7.752,Corporate,17/10/13,Standard Class,New York,Binders
Furniture,United States,Marina Lichtenstein,0,13/10/13,CA-2011-164742,"Global High-Back Leather Tilter, Burgundy",27.0578,2,East,,245.98,Corporate,18/10/13,Second Class,New Jersey,Chairs
Office Supplies,United States,Marina Lichtenstein,0,13/10/13,CA-2011-164742,Flexible Leather- Look Classic Collection Ring Binder,9.47,1,East,,18.94,Corporate,18/10/13,Second Class,New Jersey,Binders
Office Supplies,United States,Jim Epp,0,14/10/13,US-2011-146353,Avery Metallic Poly Binders,11.0016,4,East,,22.92,Corporate,16/10/13,Second Class,New Hampshire,Binders
Office Supplies,United States,Jim Epp,0,14/10/13,US-2011-146353,Fellowes Bankers Box Recycled Super Stor/Drawer,16.194,5,East,,269.9,Corporate,16/10/13,Second Class,New Hampshire,Storage
Furniture,United States,Toby Carlisle,0,14/10/13,CA-2011-151330,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,260.6112,9,East,,1628.82,Consumer,17/10/13,First Class,Massachusetts,Chairs
Office Supplies,United States,Toby Carlisle,0,14/10/13,CA-2011-151330,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",22.246,7,East,,79.45,Consumer,17/10/13,First Class,Massachusetts,Storage
Technology,United States,Toby Carlisle,0,14/10/13,CA-2011-151330,WD My Passport Ultra 500GB Portable External Hard Drive,30.09,3,East,,177,Consumer,17/10/13,First Class,Massachusetts,Accessories
Office Supplies,United States,Hunter Glantz,0.8,14/10/13,CA-2011-163748,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",-8.532,4,Central,,3.16,Consumer,18/10/13,Standard Class,Texas,Appliances
Technology,United States,Hunter Glantz,0.2,14/10/13,CA-2011-163748,Hewlett Packard 610 Color Digital Copier / Printer,624.9875,5,Central,,1999.96,Consumer,18/10/13,Standard Class,Texas,Copiers
Office Supplies,United States,Bradley Drucker,0.8,14/10/13,US-2011-151015,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-4.8609,3,Central,,2.946,Consumer,20/10/13,Standard Class,Illinois,Binders
Office Supplies,United States,Bradley Drucker,0.2,14/10/13,US-2011-151015,Xerox 1903,6.9368,4,Central,,19.136,Consumer,20/10/13,Standard Class,Illinois,Paper
Office Supplies,United States,Bradley Drucker,0.2,14/10/13,US-2011-151015,Xerox 1951,100.685,13,Central,,322.192,Consumer,20/10/13,Standard Class,Illinois,Paper
Furniture,United States,Anna Chung,0.3,15/10/13,US-2011-122021,Global Italian Leather Office Chair,-7.8588,2,East,,183.372,Consumer,17/10/13,First Class,Ohio,Chairs
Office Supplies,United States,Anna Chung,0.2,15/10/13,US-2011-122021,Xerox 1897,2.8884,2,East,,7.968,Consumer,17/10/13,First Class,Ohio,Paper
Furniture,United States,Dan Lawera,0.2,15/10/13,CA-2011-143182,"Executive Impressions 13"" Clairmont Wall Clock",4.0383,1,South,,15.384,Consumer,20/10/13,Standard Class,Florida,Furnishings
Office Supplies,United States,Lynn Smith,0.2,16/10/13,US-2011-109456,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,5.0232,3,West,,14.352,Consumer,17/10/13,Same Day,California,Binders
Technology,United States,Lynn Smith,0,16/10/13,US-2011-109456,Logitech Illuminated - Keyboard,86.3856,3,West,,179.97,Consumer,17/10/13,Same Day,California,Accessories
Furniture,United States,Evan Bailliet,0.6,17/10/13,CA-2011-103086,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,-1.5936,2,Central,,5.312,Consumer,19/10/13,Second Class,Texas,Furnishings
Office Supplies,United States,Tracy Blumstein,0.8,17/10/13,CA-2011-124394,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-17.248,5,Central,,10.78,Consumer,22/10/13,Second Class,Texas,Binders
Technology,United States,Tracy Blumstein,0.2,17/10/13,CA-2011-124394,Case Logic 2.4GHz Wireless Keyboard,-17.9964,3,Central,,119.976,Consumer,22/10/13,Second Class,Texas,Accessories
Furniture,United States,Alan Schoenberger,0,18/10/13,CA-2011-110408,"Global Wood Trimmed Manager's Task Chair, Khaki",70.9644,6,South,,545.88,Corporate,20/10/13,Second Class,Alabama,Chairs
Office Supplies,United States,Alan Schoenberger,0,18/10/13,CA-2011-110408,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",11.0388,3,South,,275.97,Corporate,20/10/13,Second Class,Alabama,Storage
Technology,United States,Alan Schoenberger,0,18/10/13,CA-2011-110408,Avaya IP Phone 1140E VoIP phone,362.687,5,South,,1394.95,Corporate,20/10/13,Second Class,Alabama,Phones
Furniture,United States,Luke Schmidt,0,18/10/13,CA-2011-115084,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,145.2816,6,South,,605.34,Corporate,22/10/13,Standard Class,Arkansas,Chairs
Office Supplies,United States,Edward Hooks,0.2,18/10/13,CA-2011-138450,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",19.692,6,East,,52.512,Corporate,22/10/13,Standard Class,Pennsylvania,Envelopes
Office Supplies,United States,Edward Hooks,0.2,18/10/13,CA-2011-138450,"Adams ""While You Were Out"" Message Pads",3.14,4,East,,10.048,Corporate,22/10/13,Standard Class,Pennsylvania,Paper
Office Supplies,United States,Edward Hooks,0.2,18/10/13,CA-2011-138450,"Eldon Base for stackable storage shelf, platinum",-35.046,6,East,,186.912,Corporate,22/10/13,Standard Class,Pennsylvania,Storage
Office Supplies,United States,Ivan Gibson,0.2,18/10/13,CA-2011-143168,Computer Printout Index Tabs,0.4704,1,West,,1.344,Consumer,23/10/13,Second Class,Washington,Binders
Office Supplies,United States,Ivan Gibson,0,18/10/13,CA-2011-143168,Xerox 1925,27.882,2,West,,61.96,Consumer,23/10/13,Second Class,Washington,Paper
Office Supplies,United States,Jeremy Farry,0,19/10/13,CA-2011-117317,Spiral Phone Message Books with Labels by Adams,6.5856,3,West,,13.44,Consumer,19/10/13,Same Day,California,Paper
Office Supplies,United States,Rachel Payne,0.2,19/10/13,CA-2011-155264,Accohide Poly Flexible Ring Binders,1.122,1,West,,2.992,Corporate,22/10/13,Second Class,California,Binders
Office Supplies,United States,Rachel Payne,0.2,19/10/13,CA-2011-155264,Avery Durable Slant Ring Binders With Label Holder,7.0224,6,West,,20.064,Corporate,22/10/13,Second Class,California,Binders
Office Supplies,United States,Rachel Payne,0,19/10/13,CA-2011-155264,Avery 480,9,5,West,,18.75,Corporate,22/10/13,Second Class,California,Labels
Office Supplies,United States,Rachel Payne,0,19/10/13,CA-2011-155264,Xerox 1917,68.9631,3,West,,146.73,Corporate,22/10/13,Second Class,California,Paper
Technology,United States,Rachel Payne,0.2,19/10/13,CA-2011-155264,Panasonic KX TS208W Corded phone,11.7576,3,West,,117.576,Corporate,22/10/13,Second Class,California,Phones
Technology,United States,Eugene Hildebrand,0.2,19/10/13,CA-2011-100867,RCA Visys Integrated PBX 8-Line Router,20.097,6,West,Yes,321.552,Home Office,24/10/13,Standard Class,California,Phones
Office Supplies,United States,Lindsay Shagiari,0.8,20/10/13,CA-2011-137092,Satellite Sectional Post Binders,-14.7594,1,Central,,8.682,Home Office,22/10/13,Second Class,Illinois,Binders
Office Supplies,United States,Lindsay Shagiari,0.2,20/10/13,CA-2011-137092,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",7.9378,1,Central,,24.424,Home Office,22/10/13,Second Class,Illinois,Labels
Office Supplies,United States,Lindsay Shagiari,0.2,20/10/13,CA-2011-137092,Wirebound Voice Message Log Book,1.2376,1,Central,,3.808,Home Office,22/10/13,Second Class,Illinois,Paper
Office Supplies,United States,Lindsay Shagiari,0.2,20/10/13,CA-2011-137092,"24 Capacity Maxi Data Binder Racks, Pearl",31.5825,3,Central,,505.32,Home Office,22/10/13,Second Class,Illinois,Storage
Technology,United States,Lindsay Shagiari,0.2,20/10/13,CA-2011-137092,Logitech Wireless Performance Mouse MX for PC and Mac,71.9928,4,Central,,319.968,Home Office,22/10/13,Second Class,Illinois,Accessories
Furniture,United States,Fred Hopkins,0.4,20/10/13,CA-2011-169684,"Lesro Round Back Collection Coffee Table, End Table",-147.8655,3,South,,328.59,Corporate,23/10/13,First Class,Tennessee,Tables
Office Supplies,United States,Fred Hopkins,0.2,20/10/13,CA-2011-169684,"Contico 72""H Heavy-Duty Storage System",-24.588,3,South,,98.352,Corporate,23/10/13,First Class,Tennessee,Storage
Office Supplies,United States,Patrick O'Donnell,0,20/10/13,CA-2011-146703,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.4784,4,Central,,211.96,Consumer,25/10/13,Second Class,Michigan,Storage
Furniture,United States,Tracy Blumstein,0.4,21/10/13,CA-2011-142587,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",-122.877,3,East,,409.59,Consumer,22/10/13,First Class,Ohio,Tables
Office Supplies,United States,Tracy Blumstein,0.2,21/10/13,CA-2011-142587,Fellowes Superior 10 Outlet Split Surge Protector,13.7016,4,East,,121.792,Consumer,22/10/13,First Class,Ohio,Appliances
Furniture,United States,Frank Hawley,0,21/10/13,CA-2011-100916,Hon 2111 Invitation Series Straight Table,112.3508,4,South,,591.32,Corporate,26/10/13,Standard Class,Virginia,Tables
Office Supplies,United States,Frank Hawley,0,21/10/13,CA-2011-100916,SANFORD Liquid Accent Tank-Style Highlighters,0.8804,1,South,,2.84,Corporate,26/10/13,Standard Class,Virginia,Art
Office Supplies,United States,Frank Hawley,0,21/10/13,CA-2011-100916,"Eldon Base for stackable storage shelf, platinum",9.735,5,South,,194.7,Corporate,26/10/13,Standard Class,Virginia,Storage
Office Supplies,United States,Sylvia Foulston,0.2,21/10/13,CA-2011-169852,Plastic Binding Combs,12.2715,3,West,,36.36,Corporate,26/10/13,Standard Class,California,Binders
Furniture,United States,Nicole Brennan,0,22/10/13,CA-2011-151967,Tenex Chairmats For Use with Hard Floors,10.3936,4,South,,129.92,Corporate,26/10/13,Standard Class,Louisiana,Furnishings
Furniture,United States,Maureen Gastineau,0.2,22/10/13,CA-2011-110072,"Seth Thomas 14"" Putty-Colored Wall Clock",12.9096,4,East,,93.888,Home Office,28/10/13,Standard Class,Ohio,Furnishings
Office Supplies,United States,Arthur Prichep,0,24/10/13,CA-2011-113047,Advantus Map Pennant Flags and Round Head Tacks,3.792,3,South,,11.85,Consumer,24/10/13,Same Day,South Carolina,Fasteners
Office Supplies,United States,Allen Armold,0.2,24/10/13,CA-2011-130729,Avery Premier Heavy-Duty Binder with Round Locking Rings,11.1384,3,West,,34.272,Consumer,29/10/13,Standard Class,California,Binders
Office Supplies,United States,Daniel Byrd,0.2,24/10/13,CA-2011-108707,Xerox 210,3.6288,2,South,,10.368,Home Office,29/10/13,Standard Class,Florida,Paper
Office Supplies,United States,Aaron Hawkins,0.2,25/10/13,US-2011-158400,GBC VeloBind Cover Sets,18.528,4,West,,49.408,Corporate,28/10/13,First Class,California,Binders
Office Supplies,United States,Evan Henry,0.7,25/10/13,CA-2011-139542,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",-9.5886,3,East,,13.698,Consumer,29/10/13,Standard Class,Pennsylvania,Binders
Technology,United States,Evan Henry,0.2,25/10/13,CA-2011-139542,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",0.5097,3,East,,40.776,Consumer,29/10/13,Standard Class,Pennsylvania,Accessories
Furniture,United States,Angele Hood,0,26/10/13,CA-2011-162278,Tenex Chairmats For Use With Carpeted Floors,3.196,4,West,,63.92,Consumer,30/10/13,Second Class,Washington,Furnishings
Technology,United States,Angele Hood,0.2,26/10/13,CA-2011-162278,Vtech CS6719,38.396,5,West,,383.96,Consumer,30/10/13,Second Class,Washington,Phones
Office Supplies,United States,Ross DeVincentis,0.2,27/10/13,CA-2011-148285,Easy-staple paper,4.0338,3,South,,11.952,Home Office,01/11/13,Standard Class,North Carolina,Paper
Office Supplies,United States,Ross DeVincentis,0.2,27/10/13,CA-2011-148285,Xerox 2,3.6288,2,South,,10.368,Home Office,01/11/13,Standard Class,North Carolina,Paper
Furniture,United States,Todd Sumrall,0.15,28/10/13,CA-2011-101931,O'Sullivan Living Dimensions 2-Shelf Bookcases,-36.294,6,West,,616.998,Corporate,31/10/13,First Class,California,Bookcases
Office Supplies,United States,Todd Sumrall,0.2,28/10/13,CA-2011-101931,Avery Non-Stick Binders,2.245,2,West,,7.184,Corporate,31/10/13,First Class,California,Binders
Office Supplies,United States,Todd Sumrall,0,28/10/13,CA-2011-101931,Eldon Portable Mobile Manager,38.178,5,West,,141.4,Corporate,31/10/13,First Class,California,Storage
Office Supplies,United States,Todd Sumrall,0,28/10/13,CA-2011-101931,Premier Automatic Letter Opener,14.4222,2,West,,480.74,Corporate,31/10/13,First Class,California,Supplies
Office Supplies,United States,Todd Sumrall,0,28/10/13,CA-2011-101931,Serrated Blade or Curved Handle Hand Letter Openers,0.0628,2,West,,6.28,Corporate,31/10/13,First Class,California,Supplies
Technology,United States,Bill Tyler,0,28/10/13,CA-2011-107769,Digium D40 VoIP phone,74.8142,2,Central,,257.98,Corporate,01/11/13,Standard Class,Kansas,Phones
Technology,United States,Sue Ann Reed,0.2,29/10/13,CA-2011-154627,Apple iPhone 5S,341.994,6,Central,,2735.952,Consumer,31/10/13,First Class,Illinois,Phones
Office Supplies,United States,Noah Childs,0,29/10/13,CA-2011-166590,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",35.6636,2,Central,,75.88,Corporate,02/11/13,Standard Class,Indiana,Paper
Technology,United States,Noah Childs,0,29/10/13,CA-2011-166590,Maxell 4.7GB DVD+R 5/Pack,0.891,2,Central,,1.98,Corporate,02/11/13,Standard Class,Indiana,Accessories
Furniture,United States,Anne McFarland,0,31/10/13,CA-2011-145387,Hon Pagoda Stacking Chairs,481.47,5,East,,1604.9,Consumer,02/11/13,Second Class,Rhode Island,Chairs
Furniture,United States,Anne McFarland,0,31/10/13,CA-2011-145387,"Eldon Expressions Wood Desk Accessories, Oak",4.2804,2,East,,14.76,Consumer,02/11/13,Second Class,Rhode Island,Furnishings
Furniture,United States,Anne McFarland,0,31/10/13,CA-2011-145387,Eldon Wave Desk Accessories,7.7748,3,East,,17.67,Consumer,02/11/13,Second Class,Rhode Island,Furnishings
Furniture,United States,Anne McFarland,0.3,31/10/13,CA-2011-145387,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",-60.6078,1,East,,385.686,Consumer,02/11/13,Second Class,Rhode Island,Tables
Office Supplies,United States,Anne McFarland,0,31/10/13,CA-2011-145387,Lumber Crayons,18.715,5,East,,49.25,Consumer,02/11/13,Second Class,Rhode Island,Art
Office Supplies,United States,Anne McFarland,0,31/10/13,CA-2011-145387,GBC Recycled VeloBinder Covers,15.6768,2,East,,34.08,Consumer,02/11/13,Second Class,Rhode Island,Binders
Office Supplies,United States,Anne McFarland,0,31/10/13,CA-2011-145387,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",4.7752,2,East,,10.16,Consumer,02/11/13,Second Class,Rhode Island,Paper
Technology,United States,Nancy Lomonaco,0.2,31/10/13,US-2011-120313,Motorola L804,8.2782,2,West,,73.584,Home Office,02/11/13,Second Class,California,Phones
Furniture,United States,Anthony Jacobs,0.4,31/10/13,CA-2011-108609,Hon 94000 Series Round Tables,-734.5264,8,East,Yes,1421.664,Corporate,02/11/13,Second Class,Ohio,Tables
Technology,United States,Amy Cox,0.2,31/10/13,US-2011-167262,Plantronics HL10 Handset Lifter,83.5128,8,West,,742.336,Consumer,03/11/13,Second Class,Arizona,Phones
Furniture,United States,Greg Guthrie,0.2,31/10/13,CA-2011-106439,Novimex Fabric Task Chair,-9.147,3,West,,146.352,Corporate,04/11/13,Standard Class,California,Chairs
Office Supplies,United States,Greg Guthrie,0,31/10/13,CA-2011-106439,Newell 325,3.717,3,West,,12.39,Corporate,04/11/13,Standard Class,California,Art
Office Supplies,United States,Greg Guthrie,0.2,31/10/13,CA-2011-106439,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",5.3892,2,West,,15.968,Corporate,04/11/13,Standard Class,California,Binders
Office Supplies,United States,Greg Guthrie,0.2,31/10/13,CA-2011-106439,"Fellowes Twister Kit, Gray/Clear, 3/pkg",6.03,3,West,,19.296,Corporate,04/11/13,Standard Class,California,Binders
Office Supplies,United States,Greg Guthrie,0,31/10/13,CA-2011-106439,Staples,5.2164,3,West,,11.34,Corporate,04/11/13,Standard Class,California,Fasteners
Office Supplies,United States,Greg Guthrie,0,31/10/13,CA-2011-106439,Xerox 1952,30.4278,13,West,,64.74,Corporate,04/11/13,Standard Class,California,Paper
Office Supplies,United States,Greg Guthrie,0,31/10/13,CA-2011-106439,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",20.878,5,West,,80.3,Corporate,04/11/13,Standard Class,California,Storage
Office Supplies,United States,Greg Guthrie,0,31/10/13,CA-2011-106439,Tennsco Regal Shelving Units,12.1692,4,West,,405.64,Corporate,04/11/13,Standard Class,California,Storage
Technology,United States,Greg Guthrie,0,31/10/13,CA-2011-106439,Maxell LTO Ultrium - 800 GB,47.8629,9,West,,251.91,Corporate,04/11/13,Standard Class,California,Accessories
Furniture,United States,Erin Ashbrook,0.2,01/11/13,CA-2011-114195,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",16.3172,2,East,,68.704,Corporate,03/11/13,First Class,Ohio,Furnishings
Office Supplies,United States,Erin Ashbrook,0.7,01/11/13,CA-2011-114195,Acco Economy Flexible Poly Round Ring Binder,-2.61,2,East,,3.132,Corporate,03/11/13,First Class,Ohio,Binders
Office Supplies,United States,Erin Ashbrook,0.7,01/11/13,CA-2011-114195,GBC Standard Therm-A-Bind Covers,-17.9424,3,East,,22.428,Corporate,03/11/13,First Class,Ohio,Binders
Furniture,United States,Daniel Lacy,0,01/11/13,US-2011-137155,"Master Big Foot Doorstop, Beige",9.8208,6,East,,31.68,Consumer,05/11/13,Standard Class,New York,Furnishings
Office Supplies,United States,Daniel Lacy,0,01/11/13,US-2011-137155,Kensington 7 Outlet MasterPiece Power Center,154.8426,3,East,,533.94,Consumer,05/11/13,Standard Class,New York,Appliances
Office Supplies,United States,Daniel Lacy,0,01/11/13,US-2011-137155,Xerox 1934,82.2906,3,East,,167.94,Consumer,05/11/13,Standard Class,New York,Paper
Office Supplies,United States,Natalie DeCherney,0.2,01/11/13,CA-2011-148915,"Carina Mini System Audio Rack, Model AR050B",-94.333,5,West,,443.92,Consumer,05/11/13,Standard Class,Oregon,Storage
Office Supplies,United States,Deirdre Greer,0,01/11/13,CA-2011-139423,Fellowes Superior 10 Outlet Split Surge Protector,22.0748,2,East,,76.12,Corporate,05/11/13,Standard Class,New Jersey,Appliances
Office Supplies,United States,Ken Heidel,0.2,01/11/13,CA-2011-102673,Newell 320,0.8988,3,South,,10.272,Corporate,05/11/13,Standard Class,North Carolina,Art
Office Supplies,United States,Ken Heidel,0.2,01/11/13,CA-2011-102673,Staples,1.41,5,South,,7.52,Corporate,05/11/13,Standard Class,North Carolina,Fasteners
Office Supplies,United States,Ken Heidel,0.2,01/11/13,CA-2011-102673,Avery 513,15.5376,12,South,,47.808,Corporate,05/11/13,Standard Class,North Carolina,Labels
Technology,United States,Natalie DeCherney,0.2,01/11/13,CA-2011-148915,Plantronics Voyager Pro HD - Bluetooth Headset,54.5916,3,West,,155.976,Consumer,05/11/13,Standard Class,Oregon,Phones
Technology,United States,Ken Heidel,0.2,01/11/13,CA-2011-102673,Cisco IP Phone 7961G VoIP phone - Dark gray,110.1195,9,South,,978.84,Corporate,05/11/13,Standard Class,North Carolina,Phones
Office Supplies,United States,Russell Applegate,0.2,01/11/13,CA-2011-134313,Model L Table or Wall-Mount Pencil Sharpener,4.3176,3,West,,43.176,Consumer,07/11/13,Standard Class,Colorado,Art
Technology,United States,Russell Applegate,0.2,01/11/13,CA-2011-134313,ClearOne CHATAttach 160 - speaker phone,247.996,4,West,,1983.968,Consumer,07/11/13,Standard Class,Colorado,Phones
Office Supplies,United States,Suzanne McNair,0.2,01/11/13,CA-2011-126907,Southworth Parchment Paper & Envelopes,5.1012,3,Central,,15.696,Corporate,08/11/13,Standard Class,Illinois,Paper
Office Supplies,United States,Jack O'Briant,0,01/11/13,CA-2011-152562,"OIC #2 Pencils, Medium Soft",1.6356,3,South,,5.64,Corporate,08/11/13,Standard Class,Kentucky,Art
Office Supplies,United States,Jack O'Briant,0,01/11/13,CA-2011-152562,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",19.4656,2,South,,69.52,Corporate,08/11/13,Standard Class,Kentucky,Storage
Office Supplies,United States,Paul Lucas,0,01/11/13,CA-2011-168305,Avery 475,22.2,3,West,,44.4,Home Office,08/11/13,Standard Class,California,Labels
Office Supplies,United States,Paul Lucas,0,01/11/13,CA-2011-168305,Easy-staple paper,9.63,5,West,,21.4,Home Office,08/11/13,Standard Class,California,Paper
Furniture,United States,Roger Demir,0,02/11/13,CA-2011-107454,Tensor Computer Mounted Lamp,24.1218,6,East,,89.34,Consumer,06/11/13,Standard Class,New York,Furnishings
Office Supplies,United States,Liz Carlisle,0.7,02/11/13,CA-2011-129147,Acco D-Ring Binder w/DublLock,-13.4694,3,East,,19.242,Consumer,06/11/13,Standard Class,Ohio,Binders
Office Supplies,United States,Roger Demir,0,02/11/13,CA-2011-107454,Avery 499,16.0356,7,East,,34.86,Consumer,06/11/13,Standard Class,New York,Labels
Office Supplies,United States,Shahid Hopkins,0,02/11/13,CA-2011-115889,Adjustable Depth Letter/Legal Cart,105.2468,2,West,,362.92,Consumer,06/11/13,Standard Class,California,Storage
Technology,United States,Liz Carlisle,0.4,02/11/13,CA-2011-129147,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,-10.0464,7,East,,50.232,Consumer,06/11/13,Standard Class,Ohio,Phones
Technology,United States,Liz Carlisle,0.4,02/11/13,CA-2011-129147,Polycom CX300 Desktop Phone USB VoIP phone,-107.9928,6,East,,539.964,Consumer,06/11/13,Standard Class,Ohio,Phones
Technology,United States,Shahid Hopkins,0.2,02/11/13,CA-2011-115889,AT&T CL82213,5.2182,2,West,,46.384,Consumer,06/11/13,Standard Class,California,Phones
Technology,United States,Julie Kriz,0.2,02/11/13,CA-2011-120670,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,239.976,10,South,,799.92,Home Office,06/11/13,Standard Class,Florida,Accessories
Technology,United States,Patrick O'Brill,0.2,02/11/13,CA-2011-148782,"Logitech B530 USB Headset - headset - Full size, Binaural",7.7679,3,Central,,88.776,Consumer,07/11/13,Standard Class,Texas,Phones
Technology,United States,Steven Ward,0,02/11/13,CA-2011-134726,"Maxell 74 Minute CD-R Spindle, 50/Pack",15.0984,2,West,Yes,41.94,Corporate,07/11/13,Second Class,Washington,Accessories
Technology,United States,Steven Ward,0.2,02/11/13,CA-2011-134726,Samsung Rugby III,4.6193,1,West,Yes,52.792,Corporate,07/11/13,Second Class,Washington,Phones
Office Supplies,United States,Tracy Collins,0,03/11/13,CA-2011-153619,Prang Dustless Chalk Sticks,3.36,4,West,,6.72,Home Office,03/11/13,Same Day,California,Art
Office Supplies,United States,Denise Monton,0,03/11/13,CA-2011-119529,Avery Durable Binders,2.8224,2,East,,5.76,Corporate,05/11/13,Second Class,New Jersey,Binders
Furniture,United States,Shahid Hopkins,0.2,03/11/13,CA-2011-165764,Tenex Antistatic Computer Chair Mats,-51.294,3,South,,410.352,Consumer,07/11/13,Standard Class,North Carolina,Furnishings
Furniture,United States,Shahid Hopkins,0.4,03/11/13,CA-2011-165764,Hon Racetrack Conference Tables,-299.2614,6,South,,945.036,Consumer,07/11/13,Standard Class,North Carolina,Tables
Office Supplies,United States,Speros Goranitis,0.2,03/11/13,CA-2011-121573,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",2.8478,2,East,,7.856,Consumer,07/11/13,Standard Class,New York,Binders
Office Supplies,United States,Speros Goranitis,0.2,03/11/13,CA-2011-121573,Surelock Post Binders,18.336,2,East,,48.896,Consumer,07/11/13,Standard Class,New York,Binders
Office Supplies,United States,Shahid Hopkins,0.7,03/11/13,CA-2011-165764,Avery Self-Adhesive Photo Pockets for Polaroid Photos,-10.4874,7,South,,14.301,Consumer,07/11/13,Standard Class,North Carolina,Binders
Office Supplies,United States,Shahid Hopkins,0.2,03/11/13,CA-2011-165764,Acco Perma 4000 Stacking Storage Drawers,-1.624,2,South,,25.984,Consumer,07/11/13,Standard Class,North Carolina,Storage
Technology,United States,Speros Goranitis,0,03/11/13,CA-2011-121573,Panasonic KX-TG9471B,219.5088,4,East,,783.96,Consumer,07/11/13,Standard Class,New York,Phones
Technology,United States,Stephanie Phelps,0,03/11/13,US-2011-124625,Belkin F8E887 USB Wired Ergonomic Keyboard,18.8937,3,Central,,89.97,Corporate,07/11/13,Standard Class,Nebraska,Accessories
Office Supplies,United States,Resi Pölking,0,03/11/13,CA-2011-155593,Acme Kleen Earth Office Shears,3.3756,3,East,,11.64,Consumer,08/11/13,Standard Class,Connecticut,Supplies
Office Supplies,United States,Maxwell Schwartz,0.2,03/11/13,CA-2011-137589,Compact Automatic Electric Letter Opener,-64.4274,3,East,,286.344,Consumer,08/11/13,Standard Class,Pennsylvania,Supplies
Office Supplies,United States,Annie Thurman,0.2,03/11/13,CA-2011-146731,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",1.1772,2,South,,3.488,Consumer,08/11/13,Standard Class,Tennessee,Paper
Office Supplies,United States,Annie Thurman,0.2,03/11/13,CA-2011-146731,Xerox 1884,48.5514,9,South,,143.856,Consumer,08/11/13,Standard Class,Tennessee,Paper
Furniture,United States,MaryBeth Skach,0,04/11/13,CA-2011-149244,"Executive Impressions 12"" Wall Clock",13.4292,2,West,,35.34,Consumer,08/11/13,Standard Class,California,Furnishings
Office Supplies,United States,Odella Nelson,0.2,04/11/13,CA-2011-121286,Acco 6 Outlet Guardian Premium Surge Suppressor,5.096,5,South,,58.24,Corporate,08/11/13,Second Class,North Carolina,Appliances
Office Supplies,United States,Odella Nelson,0.2,04/11/13,CA-2011-121286,OIC Bulk Pack Metal Binder Clips,2.7222,3,South,,8.376,Corporate,08/11/13,Second Class,North Carolina,Fasteners
Furniture,United States,Nathan Mautz,0.1,04/11/13,CA-2011-164973,DMI Arturo Collection Mission-style Design Wood Chair,24.1568,1,East,,135.882,Home Office,09/11/13,Standard Class,New York,Chairs
Office Supplies,United States,Nathan Mautz,0,04/11/13,CA-2011-164973,"Trav-L-File Heavy-Duty Shuttle II, Black",13.071,1,East,,43.57,Home Office,09/11/13,Standard Class,New York,Storage
Technology,United States,Nathan Mautz,0,04/11/13,CA-2011-164973,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,129.6,4,East,,360,Home Office,09/11/13,Standard Class,New York,Accessories
Technology,United States,Nathan Mautz,0,04/11/13,CA-2011-164973,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,1995.99,2,East,,3991.98,Home Office,09/11/13,Standard Class,New York,Machines
